         11020588 function calls (11019761 primitive calls) in 3.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      373    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
     1562    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 _regex_core.py:1483(parse_set_imp_union)
      372    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       20    0.000    0.000    0.000    0.000 bpe_tokenizer.py:78(<genexpr>)
       31    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      495    0.000    0.000    0.000    0.000 _parser.py:261(get)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
   101/26    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 inspect.py:2501(_signature_from_callable)
       11    0.000    0.000    0.000    0.000 _regex_core.py:1637(lookup_property)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 _regex_core.py:1187(parse_escape)
     14/8    0.000    0.000    0.000    0.000 _regex_core.py:3406(optimise)
        8    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
      666    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _regex_core.py:335(_compile_firstset)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2397(_signature_from_function)
       10    0.000    0.000    0.000    0.000 regex.py:377(escape)
     1104    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2133(_flatten_branches)
       20    0.000    0.000    0.000    0.000 _regex_core.py:384(make_case_flags)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       28    0.000    0.000    0.000    0.000 _regex_core.py:2484(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:667(getpreferredencoding)
     48/4    0.000    0.000    0.000    0.000 _regex_core.py:1897(compile)
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
      688    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       46    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
       99    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
     10/7    0.000    0.000    0.000    0.000 _regex_core.py:3418(pack_characters)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        2    0.000    0.000    0.000    0.000 _regex_core.py:345(_check_firstset)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
      2/1    0.000    0.000    0.000    0.000 std.py:663(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
      319    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      107    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       17    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1506(parse_set_member)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {built-in method now}
        4    0.000    0.000    0.000    0.000 _regex_core.py:1374(parse_property)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2089(pack_characters)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2113(_compile)
       11    0.000    0.000    0.000    0.000 _regex_core.py:1626(standardise_name)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 bpe_tokenizer.py:98(vocabulary_init)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1547(parse_set_item)
      113    0.000    0.000    0.000    0.000 enum.py:1393(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       23    0.000    0.000    0.000    0.000 std.py:400(format_interval)
       15    0.000    0.000    0.000    0.000 std.py:102(acquire)
      553    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      2/1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        9    0.000    0.000    0.000    0.000 locale.py:600(setlocale)
        2    0.000    0.000    0.000    0.000 enum.py:1583(__invert__)
      133    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
     15/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3485(_compile)
     15/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      600    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       61    0.000    0.000    0.000    0.000 std.py:231(__call__)
       19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      138    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        9    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
       45    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 context.py:220(Process)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 typing.py:392(inner)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       24    0.000    0.000    0.000    0.000 utils.py:273(_is_ascii)
      483    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       12    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
       19    0.000    0.000    0.000    0.000 _regex_core.py:3500(_flush_characters)
        2    0.000    0.000    0.000    0.000 typing.py:1476(__getitem__)
      151    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 bpe_tokenizer.py:15(find_chunk_boundaries)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
       13    0.000    0.000    0.000    0.000 _regex_core.py:1850(with_flags)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       28    0.000    0.000    0.000    0.000 inspect.py:2743(__init__)
      399    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4316(_get_required_string)
      399    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
       12    0.000    0.000    0.000    0.000 std.py:186(__format__)
      190    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       37    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
        4    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        2    0.000    0.000    0.000    0.000 random.py:126(__init__)
       30    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
      178    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       15    0.000    0.000    0.000    0.000 std.py:106(release)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
      245    0.000    0.000    0.000    0.000 _parser.py:256(match)
      138    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        2    0.000    0.000    0.000    0.000 random.py:135(seed)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
       32    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
